PYTHON_NUMBER,CEO_1,CEO_2,CEO_3,LEVEL,GENDER,AGE,ETHNICITY,ETHNICITY_2,COUNTRY,JOB_PROFILE,WORKING_PATTERN,CURRENT_SALARY,SALARY_INCREASE_PCT,NEW_SALARY_FTE,NEW_SALARY,CURRENT_SALARY_FOR_THOSE_WITH_INCREASE,HAS_SALARY_INCREASE,SALARY_ELIGIBLE,BONUS_ELIGIBLE,SALARY_MAVP_FOR_DISCRETIONARY_AWARD,DISCRETIONARY_RATIONALE,DISCRETIONARY_AMOUNT,DISCRETIONARY_BONUS_PCT,BONUS_OPPORTUNITY,DIVISION
4823,Wealth Businesses (Emma Crystal),Client Service & Delivery - Client Service (Patrick Morse),Coutts 24 (Kirsty Cook),A,Female,61 - 64,Asian/Asian British,BAME,United Kingdom,Customer Service Associate - Private Banking (Volume) A4,Part time,28343.48,0.0252,40680.078398,29057.78,28343.48,1,Yes,,0.0,,0.0,0.0,0.0,Private Banking & Wealth Management
46693,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),NatWest Markets (Jonathan Peberdy),Trading (Simon Manwaring),C,Male,31 - 40,Asian/Asian British,BAME,United States of America,Algorithmic Trading Vice President (Regulated) C11,Full time,151854.87,0.0,151854.87,151854.87,0.0,0,Yes,Yes,151854.87,Performing,117687.52,0.775,0.75,NatWest Markets
53429,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),NatWest Markets (Jonathan Peberdy),Chief Operating Office (APAC) (Tom Costello),B,Male,21 - 30,Asian/Asian British,BAME,United Kingdom,Graduate Trainee - NatWest Markets Front Office (2025) (Regulated) B5,Full time,60000.0,0.0833,65000.0,65000.0,60000.0,1,Yes,Yes,60000.0,Performing,0.0,0.0,0.15,NatWest Markets
1098,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - North (Malcolm Buchanan),C,Male,41 - 50,Asian/Asian British,BAME,United Kingdom,Relationship Manager - Commercial Banking C9,Full time,58115.98,0.029,59801.88,59801.88,58115.98,1,Yes,Yes,58115.98,Performing,6000.0,0.103242,0.25,C&I RFB
1186,Risk (Keiran Foad),Non-Financial Risk (Marcus Wogart),Compliance & Conduct (Es Nelson-Jones),B,Male,61 - 64,Asian/Asian British,BAME,United Kingdom,Surveillance Officer B7,Full time,43222.61,0.0577,45715.51,45715.51,43222.61,1,Yes,,0.0,,0.0,0.0,0.0,Risk
1285,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - Scotland (Andrew Gray (Inherited)),B,Male,41 - 50,Asian/Asian British,BAME,United Kingdom,Relationship Manager - Business Banking B7,Full time,58706.95,0.02,59881.09,59881.09,58706.95,1,Yes,Yes,58706.95,Performing,5000.0,0.085169,0.15,C&I RFB
1297,Finance (Katie Murray),Finance - Group Finance (Andrew Wells),Finance Reporting and Control (Lesley McGill),C,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Regulatory External Reporting Manager C9,Full time,91872.07,0.02,93709.51,93709.51,91872.07,1,Yes,Yes,91872.07,Performing,10105.93,0.11,0.25,Finance
1343,NatWest Digital X (Scott Marcar),Wealth CDIO (Raymond Mulligan),Data Platforms (Purnima Mookerjee),C,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Technical Specialist C9,Full time,74040.0,0.0,74040.0,74040.0,0.0,0,Yes,Yes,63036.0,Performing,8000.0,0.126912,0.25,NatWest Digital X
1411,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Branch and Local Banking (Jimmy Robertson),A,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Personal Banker (Volume) A4,Part time,20237.27,0.0,33728.783333,20237.27,0.0,0,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
1428,NatWest Digital X (Scott Marcar),Retail CDIO (Wendy Redshaw),Unsecured Lending (Mei Clark),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Enterprise Architect C9,Full time,57665.23,0.03,59395.19,59395.19,57665.23,1,Yes,Yes,57665.23,Performing,0.0,0.0,0.25,NatWest Digital X
1438,NatWest Digital X (Scott Marcar),Retail CDIO (Wendy Redshaw),Shared Experiences (Richard Healy),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Enterprise Architect C9,Full time,63212.01,0.025,64792.31,64792.31,63212.01,1,Yes,Yes,63212.01,Performing,6321.2,0.1,0.25,NatWest Digital X
1445,NatWest Digital X (Scott Marcar),Data and Analytics (Karen Dewar),One bank Customer Analytics (Corinne King.),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Data Engineer C11,Full time,89514.56,0.036,92737.64,92737.64,89514.56,1,Yes,Yes,89514.56,Performing,15217.48,0.17,0.25,NatWest Digital X
1452,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Branch and Local Banking (Jimmy Robertson),A,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Personal Banker (Volume) A4,Part time,20485.26,0.0321,32175.254908,21142.36,20485.26,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
1537,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - Portfolio Management (David Harris),C,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Client Management C9,Full time,84674.86,0.0318,87368.36,87368.36,84674.86,1,Yes,Yes,84674.86,Performing,7500.0,0.088574,0.25,C&I RFB
1597,"Legal, Governance and Regulatory Affairs (William Luker)",GC L and I (Carol Paton),Legal - Litigation & Investigations (Craig Berry),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Legal Counsel - Litigation & Investigations C11,Full time,123559.03,0.0225,126339.11,126339.11,123559.03,1,Yes,Yes,123559.03,Performing,13000.0,0.105213,0.25,Legal & Regulatory Affairs
1665,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - Midlands & East (Lisa Phillips),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Relationship Management Lead - Commercial Banking C11,Full time,86505.64,0.0225,88452.02,88452.02,86505.64,1,Yes,Yes,86505.64,No bonus - Disciplinary sanction applied in year,0.0,0.0,0.5,C&I RFB
1674,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Business Banking and International Retail (Jon Neil),Accelerator and Partnerships (Darren Pirie),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Strategic Partnerships Lead C11,Full time,96645.11,0.0207,98648.01,98648.01,96645.11,1,Yes,Yes,96645.11,Performing,11250.0,0.116405,0.25,C&I RFB
1700,NatWest Digital X (Scott Marcar),Retail CDIO (Wendy Redshaw),Digital Channels (Li Qun Taylor),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,WoW - Deployment Manager C9,Full time,82373.33,0.05,86492.0,86492.0,82373.33,1,Yes,Yes,82373.33,Performing,17504.33,0.2125,0.25,NatWest Digital X
1713,NatWest Digital X (Scott Marcar),Digital X COO (Victoria Cleverley),DX Controls and Controls Transformation (Bukola Adisa),C,Male,61 - 64,Asian/Asian British,BAME,United Kingdom,Business Controls Partner C9,Full time,60967.97,0.025,62492.17,62492.17,60967.97,1,Yes,Yes,60967.97,Performing,8534.0,0.139975,0.25,NatWest Digital X
1727,NatWest Digital X (Scott Marcar),Digital X COO (Victoria Cleverley),DX Transformation (Jon Simpson),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Project Manager C11,Full time,85547.22,0.025,87685.9,87685.9,85547.22,1,Yes,Yes,85547.22,Performing,5200.0,0.060785,0.25,NatWest Digital X
1782,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Branch and Local Banking (Jimmy Robertson),A,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Personal Banker (Volume) A4,Part time,13981.4,0.04,28272.720202,14540.66,13981.4,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
1814,NatWest Digital X (Scott Marcar),GCOO CDIO & India Hub (Ruchika Panesar),CDIO Group COO & Colleague Platforms (Simon Corcoran),C,Male,41 - 50,Asian/Asian British,BAME,United Kingdom,Technology WoW - Business Analyst C9,Full time,51704.4,0.0465,54107.47,54107.47,51704.4,1,Yes,Yes,51704.4,Performing,7755.66,0.15,0.25,NatWest Digital X
1882,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Business Banking and International Retail (Jon Neil),Direct BB - Direct Relationship Management (Rashpal Martin),B,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Relationship Manager - Business Banking B7,Full time,46488.97,0.0354,48133.64,48133.64,46488.97,1,Yes,Yes,46488.97,Performing,2500.0,0.053776,0.15,C&I RFB
1886,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - Commercial Real Estate (Charlotte Foster),C,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Relationship Manager - Commercial Real Estate Finance C9,Full time,83475.08,0.0266,85694.58,85694.58,83475.08,1,Yes,Yes,83475.08,Performing,8250.0,0.098832,0.25,C&I RFB
2001,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - Portfolio Management (David Harris),C,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Transformation & Change Manager C11,Full time,69115.75,0.0361,71607.85,71607.85,69115.75,1,Yes,Yes,69115.75,Performing,17000.0,0.245964,0.25,C&I RFB
2009,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - London & South East (Catherine van Weenen),C,Male,41 - 50,Asian/Asian British,BAME,United Kingdom,Relationship Manager - Commercial Banking C11,Full time,78805.55,0.0326,81375.69,81375.69,78805.55,1,Yes,Yes,78805.55,Performing,7000.0,0.088826,0.5,C&I RFB
2050,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - South West and Wales (Faye Long),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Relationship Manager - Commercial Banking C11,Full time,71614.84,0.03,73763.29,73763.29,71614.84,1,Yes,Yes,71614.84,Performing,4500.0,0.062836,0.5,C&I RFB
25280,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),NatWest Markets (Jonathan Peberdy),NWM CEO Exec Office (Helen Wilson),C,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Business Management - T&FS Centre Vice President C11,Full time,107500.0,0.0233,110000.0,110000.0,107500.0,1,Yes,Yes,107500.0,Performing,20000.0,0.186047,0.25,NatWest Markets
2126,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - South West and Wales (Faye Long),C,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Relationship Manager - Commercial Banking C9,Full time,59175.74,0.0351,61255.13,61255.13,59175.74,1,Yes,Yes,59175.74,Performing,6750.0,0.114067,0.25,C&I RFB
2151,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Branch and Local Banking (Jimmy Robertson),A,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Personal Banker (Volume) A4,Full time,32090.36,0.0425,33452.63,33452.63,32090.36,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
2183,NatWest Digital X (Scott Marcar),GCOO CDIO & India Hub (Ruchika Panesar),CDIO Group COO & Colleague Platforms (Simon Corcoran),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,WoW - Infrastructure Engineer IP C9,Full time,104068.59,0.03,107190.59,107190.59,104068.59,1,Yes,Yes,104068.59,Performing,2000.0,0.019218,0.25,NatWest Digital X
2187,NatWest Digital X (Scott Marcar),DX Architecture (Diana Kennedy),Enterprise Engineering (Declan O'Gorman),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Lead Enterprise Architect C11,Full time,114679.03,0.0314,118279.03,118279.03,114679.03,1,Yes,Yes,114679.03,Performing,11850.0,0.103332,0.25,NatWest Digital X
39126,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),NatWest Markets (Jonathan Peberdy),Trading (Simon Manwaring),B,Male,21 - 30,Asian/Asian British,BAME,United Kingdom,Rates Sales Associate (Regulated) B7,Full time,110000.0,0.0909,120000.0,120000.0,110000.0,1,Yes,Yes,110000.0,Performing,80000.0,0.727273,0.65,NatWest Markets
2219,NatWest Digital X (Scott Marcar),Technology (Ken Adamson),Hosting Solutions - Cloud Platforms (Mark Campbell),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,WoW - Infrastructure Engineer C9,Full time,83023.21,0.0361,86023.91,86023.91,83023.21,1,Yes,Yes,83023.21,Performing,14944.18,0.18,0.25,NatWest Digital X
49256,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),NatWest Markets (Jonathan Peberdy),Trading (Simon Manwaring),B,Male,21 - 30,Asian/Asian British,BAME,United States of America,Graduate Trainee - NatWest Markets - Front Office (2023) (Regulated) B5,Full time,83520.18,0.2273,102502.04,102502.04,83520.18,1,Yes,Yes,83520.18,Performing,22778.23,0.272727,0.35,NatWest Markets
2236,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),RBSI Exco (Jane Howard),Chief Operating Office (Mark Beaumont),B,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Personal Assistant B5,Full time,52218.16,0.029,53731.02,53731.02,52218.16,1,Yes,,0.0,,0.0,0.0,0.0,RBS International
6767,Wealth Businesses (Emma Crystal),Client Service & Delivery - Client Service (Patrick Morse),Affluent Professionals and BD (Claire-Marie Roche),A,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Customer Service Associate A4,Part time,17842.69,0.032,32226.268813,18414.09,17842.69,1,Yes,,0.0,,0.0,0.0,0.0,Private Banking & Wealth Management
6800,Wealth Businesses (Emma Crystal),Client Service & Delivery - Client Service (Patrick Morse),Affluent Professionals and BD (Claire-Marie Roche),A,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Customer Service Associate A4,Part time,17836.8,0.0521,31278.0,18766.8,17836.8,1,Yes,,0.0,,0.0,0.0,0.0,Private Banking & Wealth Management
2286,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - North (Malcolm Buchanan),C,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Relationship Manager - Commercial Banking C9,Full time,56286.12,0.0444,58786.12,58786.12,56286.12,1,Yes,Yes,56286.12,Performing,8000.0,0.142131,0.25,C&I RFB
2358,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Frontline Support (Jane Law),B,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Controls Assurance B5,Part time,26894.99,0.0499,32944.405554,28236.65,26894.99,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
2362,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),A,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst (Volume) A4,Full time,28235.06,0.04,29364.46,29364.46,28235.06,1,Yes,,0.0,,0.0,0.0,0.0,C&I RFB
2366,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Business Banking and International Retail (Jon Neil),Direct BB - Business Line (Rachel Lewis),A,Male,41 - 50,Asian/Asian British,BAME,United Kingdom,Call Quality Assessor A4,Full time,30839.99,0.0415,32119.99,32119.99,30839.99,1,Yes,,0.0,,0.0,0.0,0.0,C&I RFB
2379,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Complaints Handler B7,Full time,39755.73,0.04,41345.96,41345.96,39755.73,1,Yes,,0.0,,0.0,0.0,0.0,C&I RFB
2397,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - Midlands & East (Lisa Phillips),C,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Relationship Manager - Commercial Banking C11,Full time,76817.99,0.025,78738.44,78738.44,76817.99,1,Yes,Yes,76817.99,Performing,9000.0,0.11716,0.5,C&I RFB
2406,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),A,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst (Volume) A4,Full time,29394.46,0.0455,30731.73,30731.73,29394.46,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
2425,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Branch and Local Banking (Jimmy Robertson),B,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Lead Personal Banker (Volume) B5,Full time,34207.79,0.0362,35447.17,35447.17,34207.79,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
2429,Chief Audit Office (Nicholas Curle),Risk (Nick Woods),,D,Male,61 - 64,Asian/Asian British,BAME,United Kingdom,Head of Audit D12,Full time,206120.66,0.0,206120.66,206120.66,0.0,0,Yes,Yes,206120.66,Performing,65000.0,0.315349,0.5,Audit
2433,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),B,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Unit Leader - Fraud Prevention B7,Full time,45422.48,0.0487,47634.42,47634.42,45422.48,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
2439,NatWest Digital X (Scott Marcar),Retail CDIO (Wendy Redshaw),Digital Channels (Chris Wilkinson),B,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Digital Release Manager B7,Full time,46136.87,0.0443,48182.34,48182.34,46136.87,1,Yes,,0.0,,0.0,0.0,0.0,NatWest Digital X
2440,People (Maria Kokkinou),"Function COO, Group COO (Matt Harrington)",Workplace Service Centre (Nathan Haywood),B,Male,41 - 50,Asian/Asian British,BAME,United Kingdom,Service Analyst B5,Full time,39394.8,0.03,40576.64,40576.64,39394.8,1,Yes,,0.0,,0.0,0.0,0.0,People
2441,People (Maria Kokkinou),"Function COO, Group COO (Matt Harrington)",GCOO Function COO Support Office (Catrina Lockhart),C,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Performance & Business Management Manager C11,Full time,79239.38,0.0328,81839.38,81839.38,79239.38,1,Yes,Yes,79239.38,Performing,19800.0,0.249876,0.25,People
8592,Wealth Businesses (Emma Crystal),Client Service & Delivery - Client Service (Patrick Morse),Affluent Professionals and BD (Claire-Marie Roche),A,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Customer Service Associate Premier (Legacy) A4,Full time,40702.65,0.0246,41702.65,41702.65,40702.65,1,Yes,,0.0,,0.0,0.0,0.0,Private Banking & Wealth Management
2504,Retail Banking (Solange Chamberlain),Home Ownership and Customer Borrowing (Barry Connolly),HBO Distribution (Bradley Fordham),A,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst (Volume) A3,Part time,7194.63,0.0357,28983.78063,7451.73,7194.63,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
2506,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst - Anti-Money Laundering B7,Full time,42940.26,0.0557,45331.39,45331.39,42940.26,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
2507,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Complaints Handler B5,Full time,32923.94,0.0304,33923.94,33923.94,32923.94,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
2535,Retail Banking (Solange Chamberlain),Home Ownership and Customer Borrowing (Barry Connolly),HBO Distribution (Bradley Fordham),A,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst (Volume) A3,Full time,31644.38,0.0316,32644.38,32644.38,31644.38,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
2546,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),FH&S (Haydn Williams),A,Male,51 - 60,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst A3,Full time,30112.02,0.0461,31499.29,31499.29,30112.02,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
2555,Retail Banking (Solange Chamberlain),"Customer Vulnerability, Retail Controls & Remediation (Brian Holland)",Retail Controls (Helen Fryer),B,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Controls Manager B7,Full time,42935.02,0.0,0.0,42935.02,0.0,0,,,0.0,,0.0,0.0,0.0,Retail Banking
2562,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Complaints Handler B5,Full time,30837.37,0.04,32070.86,32070.86,30837.37,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
2563,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst B5,Part time,22101.21,0.045,28869.7,23095.76,22101.21,1,Yes,,0.0,,0.0,0.0,0.0,C&I RFB
2632,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),C,Female,41 - 50,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Delivery Manager C9,Full time,40920.0,0.09,44602.8,44602.8,40920.0,1,Yes,Yes,40920.0,Performing,0.0,0.0,0.25,C&I RFB
2643,NatWest Digital X (Scott Marcar),Retail CDIO (Wendy Redshaw),One Bank Mortgages (Stephen Haynes),C,Female,51 - 60,Asian/Asian British,BAME,United Kingdom,WoW - Quality Manager C11,Full time,84046.04,0.0405,87446.04,87446.04,84046.04,1,Yes,Yes,84046.04,Performing,11000.0,0.130881,0.25,NatWest Digital X
2658,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),RBSI Exco (Jane Howard),Chief Operating Office (Mark Beaumont),B,Male,61 - 64,Asian/Asian British,BAME,United Kingdom,Customer Service & Operations Analyst - Anti-Money Laundering B7,Full time,44268.93,0.03,45597.0,45597.0,44268.93,1,Yes,,0.0,,0.0,0.0,0.0,RBS International
